User,Context,Amount,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
1001,sunny,3,0.25200,1.52900,2.61000,0.00570,17,0.72200,2.49100,0.22330,2.03810,1.59100
1001,snowing,1,0.82900,0.52400,0.25800,0.00160,4,0.32800,0.62930,0.02870,0.50880,0.34900
1001,rainy,1,0.09910,0.75500,0.83700,0.00000,2,0.28900,0.93200,0.14200,0.54560,0.71400
1001,cloudy,2,0.92810,1.27900,1.09500,0.00160,6,0.61700,1.56130,0.17070,1.05440,1.06300
1001,traffic jam,1,0.07170,0.51600,0.76400,0.00000,2,0.11500,0.84440,0.03660,0.67280,0.37600
1001,lots of cars,1,0.11100,0.76300,0.69300,0.00000,5,0.10100,0.90070,0.04380,0.52230,0.39900
1001,sleepy,2,0.43030,0.97200,1.11900,0.08620,14,0.43000,1.67860,0.10230,1.19080,0.18090
1001,awake,3,0.99080,1.42500,1.46800,0.08620,19,0.59800,2.26000,0.33070,1.58140,1.12890
1001,city,1,0.15200,0.71500,0.95100,0.00000,6,0.30200,0.83780,0.13200,0.57560,0.67100
1001,night,2,0.12430,1.09800,1.12200,0.08620,10,0.32000,1.65960,0.07680,1.07520,0.47690
1001,morning,2,0.52800,1.40000,1.38300,0.00000,14,0.31200,1.82040,0.11310,1.16020,0.50200
1001,sad,1,0.07170,0.51600,0.76400,0.00000,2,0.11500,0.84440,0.03660,0.67280,0.37600
1001,lazy,2,0.02980,0.84200,1.76500,0.00570,17,0.55100,1.65620,0.31470,1.38050,1.04600
1001,active,1,0.97600,0.54600,0.16900,0.00000,6,0.13300,0.65370,0.03770,0.43770,0.54900
1001,urban,1,0.97600,0.54600,0.16900,0.00000,6,0.13300,0.65370,0.03770,0.43770,0.54900
1001,mountains,2,0.12740,1.05300,1.73200,0.00570,11,0.59400,1.74080,0.19670,1.33530,1.25800
1001,country side,1,0.15200,0.71500,0.95100,0.00000,6,0.30200,0.83780,0.13200,0.57560,0.67100
1001,coast line,1,0.00150,0.54400,0.87000,0.00000,8,0.24600,0.84740,0.26000,0.59080,0.50200
1001,relaxed driving,2,1.24600,1.16100,0.94800,0.00160,13,0.53900,1.54900,0.09800,1.14670,0.45200
1001,free road,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,serpentine,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,highway,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,day time,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,afternoon,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,happy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,sport driving,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1002,sunny,3,1.01430,1.46300,1.28600,0.99820,13,0.80500,2.25710,0.23280,1.47040,1.47590
1002,snowing,6,2.61410,3.12700,3.39100,1.19890,26,1.17700,4.28790,0.42310,4.19290,3.42300
1002,rainy,5,1.21030,2.81800,3.02410,0.25430,16,0.84260,3.64770,0.32590,2.72390,2.85100
1002,cloudy,2,1.04770,1.06200,0.93300,0.00000,8,0.24800,1.49810,0.07430,1.11050,0.92500
1002,traffic jam,8,2.39810,4.69700,5.11410,1.20020,52,1.39060,5.69700,0.38530,4.65800,5.00500
1002,lots of cars,3,0.61070,2.06300,1.83300,0.86300,17,0.32100,2.41060,0.12100,1.59990,1.59700
1002,sleepy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
